iter	Passed	Remaining
0	10	1079
1	33	1655
2	49	1585
3	58	1396
4	66	1258
5	74	1173
6	79	1056
7	87	1005
8	96	976
9	101	910
10	109	888
11	117	861
12	126	845
13	134	826
14	143	812
15	151	794
16	160	782
17	168	768
18	176	753
19	185	741
20	193	726
21	201	715
22	209	702
23	218	691
24	226	679
25	234	667
26	242	656
27	251	647
28	259	636
29	269	629
30	277	617
31	285	607
32	293	596
33	301	586
34	309	575
35	320	570
36	329	561
37	339	553
38	348	544
39	355	533
40	364	523
41	371	513
42	380	504
43	388	494
44	396	485
45	405	475
46	414	466
47	422	457
48	430	448
49	438	438
50	447	429
51	455	420
52	463	411
53	472	402
54	480	393
55	488	383
56	496	374
57	504	365
58	513	356
59	521	347
60	530	339
61	537	329
62	546	321
63	554	311
64	562	303
65	571	294
66	580	285
67	588	276
68	596	268
69	604	259
70	613	250
71	621	241
72	630	233
73	638	224
74	646	215
75	654	206
76	663	198
77	672	189
78	680	180
79	689	172
80	696	163
81	706	155
82	714	146
83	722	137
84	731	129
85	739	120
86	747	111
87	755	103
88	763	94
89	772	85
90	780	77
91	788	68
92	796	59
93	805	51
94	813	42
95	822	34
96	829	25
97	838	17
98	846	8
99	855	0
